id,name,office_code,district,district_office,road_addr,founding,is_branch,lat,lng,level,is_active,source
B000003905,안산양지초등학교,7530000,안산시,경기도안산교육지원청,경기도 안산시 단원구 안산천남로 129,공립,false,37.30484259,126.8345809,elem,true,data.go.kr
B000003889,안산원곡초등학교,7530000,안산시,경기도안산교육지원청,경기도 안산시 단원구 원곡초교길 9,공립,false,37.3282411,126.7960898,elem,true,data.go.kr
B000003892,안산중앙초등학교,7530000,안산시,경기도안산교육지원청,경기도 안산시 단원구 예술대학로 50,공립,false,37.32172574,126.8373946,elem,true,data.go.kr
B000003881,안산진흥초등학교,7530000,안산시,경기도안산교육지원청,경기도 안산시 단원구 화정천동로 80,공립,false,37.31248107,126.8223093,elem,true,data.go.kr
B000003912,안산창촌초등학교,7530000,안산시,경기도안산교육지원청,경기도 안산시 상록구 건건5길 7,공립,false,37.30743877,126.9047029,elem,true,data.go.kr
B000003931,안산청석초등학교,7530000,안산시,경기도안산교육지원청,경기도 안산시 상록구 해양1로 48,공립,false,37.2947151,126.8181022,elem,true,data.go.kr
B000003913,안산초등학교,7530000,안산시,경기도안산교육지원청,경기도 안산시 상록구 수암2길 13-7,공립,false,37.36495969,126.8781241,elem,true,data.go.kr
B000030299,안산해솔초등학교,7530000,안산시,경기도안산교육지원청,경기도 안산시 상록구 해양5로 38,공립,false,37.2825303,126.8335717,elem,true,data.go.kr
B000003929,안산해양초등학교,7530000,안산시,경기도안산교육지원청,경기도 안산시 상록구 해양2로 28,공립,false,37.29452082,126.823770,elem,true,data.go.kr
B000003886,안산호원초등학교,7530000,안산시,경기도안산교육지원청,경기도 안산시 단원구 초지1로 100,공립,false,37.30264932,126.8184887,elem,true,data.go.kr
B000003899,안산화정초등학교,7530000,안산시,경기도안산교육지원청,경기도 안산시 단원구 화정천서로 545,공립,false,37.34595787,126.8173868,elem,true,data.go.kr
B000004266,안서초등학교,7530000,광명시,경기도광명교육지원청,경기도 광명시 가학로 247-55,공립,false,37.40278319,126.8706442,elem,true,data.go.kr
B000004389,안성초등학교,7530000,안성시,경기도안성교육지원청,경기도 안성시 혜산로 13,공립,false,37.0122701,127.2725354,elem,true,data.go.kr
B000003866,안양관악초등학교,7530000,안양시,경기도안양과천교육지원청,경기도 안양시 동안구 일동로 201,공립,false,37.40664855,126.9681914,elem,true,data.go.kr
B000003865,안양남초등학교,7530000,안양시,경기도안양과천교육지원청,경기도 안양시 동안구 흥안대로 275,공립,false,37.37987549,126.9685686,elem,true,data.go.kr
B000003864,안양덕현초등학교,7530000,안양시,경기도안양과천교육지원청,경기도 안양시 동안구 갈산로 34,공립,false,37.37549471,126.9623993,elem,true,data.go.kr
